LLAVE BOLA FOSET ROSC 3/4 PVC,85,71.5
NIPLE GALVANIZADO 1/2 X8,76.27,64.4
ANGULO SOPORTE FIERO 2 1/2¨,11,9.5
BISAGRA TEE 10¨,76.27,64
BISAGRA TEE 6¨,42.4,33.58
PVC TEE 2¨ SCH-40,72,63
NIPLE GALVANIZADO 1/2 X6,34,29
CANDADO CENT 60MM,572,486
EXTENSION P/ROLO ALUM 4-8,423,380
CINTA MET EMTOP 5M,148,115
LLAVE BOLA FOSET ROSC 1/2 PVC,55,50
NIVEL INGCO 40CM,148.3,125
BARRENA JUEGO SANTUL 4BROC,110.2,98.5
CUBO MEC TATIX #19 CORT,72.04,62
SOLDADURA 6013 G/F,72,60
CAJA HERR PRET 16´´ 20532,508.5,444
MANGUERA REF 1/2X25,360,330
MANGUERA REF 1/2X50,593.2,394
MANGUERA P/BOMBA GRIS 1.5M,157.8,135
PVC REDUCCION 1 1/2 A 3/4,21.2,14
CUBO MEC TRUP LARG  #14,152.5,133
CUBO MEC TRUP LARG  #15,152.5,114
CUBO MEC TRUP LARG  #17 13357,157,137
ARANDELA PLANA 1/2,2.54,1.24
ADITIVO AZUL 1/4 NASHQUIM,220.34,210
CUBO MEC TRUP LARG  #18,152.5,133
MANDRIL P/CORTA CIRCULO 1 1/4 (18144),127,106
CHICHARRA 1/2 PRET  (21150),326,278
TUERCA PRESION 1/2 (48746),21.2,15
HG REDUCCION 1 1/4 A 1/2 (48774),68,58
HG REDUCCION 1 1/4 A 3/4 (48775),68,58
VALVULA ENT FOSET INOD (49344),136,108
TUCAN POSITIVO ROJO GL,720.33,675
BOMBILLO LED 7W,85,73.7
ACEITE OIL 99 PENETR,148.3,110
ACIDO MURIATICO GL,247.04,200
ACIDO MURIATICO 1 LIT,59.49,52
ACIDO MURIATICO 1/2 GL,121.19,95
HG REDUCCION 3/4 A 1/2 COR,17,12
LLAVE ANG WARNING 3/8X 3/8,144,126
LLAVE EMPOSTRAL T/NICO AGUAMAX,419,365
BREAKER EUROPEO 1P/63 AMP,67.79,55
MOTA ROMA ANTI GOTA,93.22,78
PANEL EUROPEO 6 CIRC,212,179
CERRADURA POLI 127291,1674,1450
ACEITE CAPELA 1/2 CLEAR,102,88.5
